资产负债率,有形资产带息债务比,有形资产负债率,市净率母公司,综合杠杆,每股企业自由现金流量,第一大股东持股比率,成本费用利润率,留存收益资产比,总资产周转率,流动资产周转率,Z值,上年度违规,上年度违规次数,风险值
0.578541,0.297682,0.572779,1.721469,2.25838,0.05325,29.66,0.077688,0.156585,0.678849,1.049766,1.747129,1,3,2.27
0.547727,0.365317,0.561302,3.885377,1.501462,0.03851,18.43,0.053953,0.049328,0.674529,1.262527,2.914279,0,0,0.068
0.207521,0.267099,0.578782,3.915286,1.985312,-0.056978,9.69,0.053469,-0.054971,0.398077,0.613648,5.601705,1,8,2.417
0.417771,0.274607,0.389146,3.332145,1.363304,-0.235157,43.66,0.120516,0.265216,0.849482,3.432017,3.693955,0,0,0.006
0.334781,0.167569,0.337247,1.140179,0.918949,-0.152375,41.43,0.062935,0.19997,0.49204,1.079554,1.858486,1,3,2.631
0.518084,0.025068,0.827515,46.404162,0.97953,-0.062757,22.01,-0.013911,-6.190343,1.716751,2.112386,10.434565,0,0,0.047
0.179907,0.091172,0.161005,1.763803,1.664826,-0.798776,24.22,0.021889,-0.152306,0.293527,0.352886,6.314839,0,0,0.321
0.893496,0.351155,0.657009,0.732252,3.578052,0.031715,18.3,-0.224631,-0.386371,0.766805,1.331134,-0.650816,1,1,2.51
0.7309,0.369474,0.756278,1.010947,1.052371,-0.168835,29.03,-0.058477,0.141847,0.231763,0.39928,0.643135,1,14,2.727
0.996381,0.243689,1.148844,7.9306,1.052371,-0.379717,13.29,-0.149476,-0.302108,0.92868,1.461064,0.202971,0,0,0.142
0.661213,0.586753,0.968449,1.2498,1.052371,0.008359,74.95,-0.284974,-0.763957,0.73452,1.278493,-1.438545,1,9,2.807
0.693518,0.26421,0.719556,1.070024,2.370197,-0.276105,29.4,-0.093669,0.036502,0.283848,0.366752,0.682671,0,0,0.044
0.659366,0.507569,0.638476,1.674477,2.470816,-0.048996,31.4,-0.01112,-0.083915,0.473679,1.307048,0.458785,1,4,2.641
0.302358,0.011536,0.255153,2.591931,2.438251,-0.289193,19.97,-0.140874,0.147375,0.361582,0.4729,3.30915,1,9,2.503
