本年度违规,本年度违规次数,资产负债率,有形资产带息债务比,有形资产负债率,市净率母公司,综合杠杆,每股企业自由现金流量,第一大股东持股比率,成本费用利润率,留存收益资产比,总资产周转率,流动资产周转率,Z值,风险值
1,9,0.969652,0.657185,0.75499,0.613441,1.148064,-0.161913,29.08,-0.414497,-0.289569,0.07638,0.403828,-1.302245,4.191
1,2,0.586543,0.613203,0.694104,2.025246,1.607594,-0.533949,32.52,0.031675,0.039776,1.156163,3.499164,1.719322,4.121
1,4,0.916869,0.317906,0.911257,1.787124,1.174293,-0.791133,54.43,0.040275,0.042653,0.170179,0.189292,0.523124,2.644
1,5,0.458528,0.008506,0.184297,1.910597,0.900991,-0.07483,14.57,0.220852,-0.729861,0.269015,0.616662,-1.981043,3.784
0,0,0.63897,0.177149,0.652029,3.636163,1.148064,0.007769,15.46,0.183477,-1.14608,0.510861,1.012371,-0.753339,4.842
0,0,0.458759,0.169234,0.716288,1.180038,1.28808,-0.809683,38.78,0.068011,0.073444,0.454583,0.851805,0.97689,4.45
1,2,0.590393,0.41441,0.718613,0.935408,1.244561,0.641115,22.91,0.17898,0.078773,0.243872,0.51022,0.568608,2.671
1,4,1.127712,0.66123,0.889056,3.156215,1.148064,0.014318,26.68,0.020807,-0.585069,0.241131,0.687387,-2.073369,3.651
1,2,0.178599,0.014986,0.234682,4.246876,0.99445,-0.393886,42.33,0.262047,0.353893,0.602544,1.096185,4.770594,3.559
1,5,1.799782,1.324445,2.575048,2.948412,1.148064,-0.002226,19.6,-1.069837,-2.672188,0.098488,0.236556,-4.793758,3.173
1,2,0.128245,0.056015,0.11417,8.779791,0.935863,-0.105294,19.44,0.474792,0.254922,0.106284,0.334443,22.366159,4.368
1,3,0.512614,0.486014,0.5959,5.334857,0.698486,0.113575,9.13,0.407427,0.183774,0.233093,0.503678,2.066583,2.987
0,0,0.565537,0.421218,0.592271,2.711617,1.250999,-0.088048,36.5,0.219391,0.174643,0.427431,1.226345,1.329563,1.953
1,1,0.693329,0.159807,0.755728,4.906883,5.759095,-0.699474,38.39,0.196657,0.196456,0.315807,0.496026,1.012885,3.943
1,1,0.081199,0.034385,0.100164,1.582042,1.148064,-0.186132,25.54,0.252102,-0.269113,0.201896,0.333072,6.59963,4.105
1,1,0.701191,0.29167,0.722701,4.642131,1.148064,-2.57741,24.69,0.038902,0.095946,0.641904,0.80406,1.9076,1.55
1,3,0.710138,0.378711,0.968361,4.884693,1.181888,-0.0797,19.84,0.106701,0.092534,1.239188,2.790563,2.207941,4.829
1,1,0.171462,0.064145,0.168141,2.056766,1.016776,-0.193721,31.93,0.487783,0.253958,0.281653,0.764934,4.290562,3.203
1,3,0.775048,0.292196,0.726076,1.016808,1.148064,0.511215,44.68,0.294533,0.096277,0.139484,0.14805,2.5414785,5.982
1,1,0.444467,0.002837,0.399358,5.737497,0.999736,0.075086,81.18,0.125865,0.467869,1.67883,1.984948,7.056416,5.271
1,2,0.131382,0.013845,0.127821,3.392467,0.922692,0.524052,53.21,0.123207,0.500951,0.202493,0.262541,7.404872,4.436
0,0,0.553906,0.483987,0.694648,11.047171,2.124607,-0.296816,10.45,0.151978,0.134257,0.517192,1.456747,3.272567,2.562
0,0,0.336202,0.258909,0.413578,8.941479,1.245834,-0.326827,36.39,0.181737,0.442907,0.429342,0.722,7.222711,4.202
1,6,0.615537,0.268917,0.472274,3.899634,1.148064,0.077884,16.5,-0.028097,-0.73241,0.530183,0.707382,0.951732,5.067
0,0,0.306687,0.285538,0.351652,1.650121,2.810084,0.080978,22.28,0.029938,0.423599,0.566328,1.209927,2.932432,3.75
0,0,0.696343,0.417915,0.780744,3.745624,2.092894,-0.914509,29.14,0.024364,0.103699,0.733459,1.114529,1.440934,4.181
1,1,0.84228,0.56671,0.840661,1.416677,3.428927,-0.337498,34.53,0.030482,0.057217,0.410279,0.98163,0.610902,5.626
1,1,0.78885,0.319394,0.759226,1.758654,1.342134,-0.152488,41.03,0.048283,0.124372,0.680587,0.908058,1.250611,4.756
1,2,0.420781,0.108562,0.392286,2.886172,1.080921,-0.246782,20.41,0.058169,0.243976,0.529225,0.615505,3.330894,4.59
1,3,0.875818,0.86544,0.980042,9.319237,1.148064,0.092588,30.76,-0.140715,-0.364505,0.787206,1.340404,0.572544,5.567
1,10,1.659815,0.827507,1.30432,2.948412,1.148064,0.013707,11.43,-1.095082,-1.093652,0.1256,0.509679,2.5414785,4.65
1,3,0.8241,0.623799,1.357636,6.858514,1.609329,0.004721,37.12,0.22721,0.1786995,0.492257,1.195906,0.633562,4.024
